country_or_area,commodity_transaction,year,quantity_GWh
Germany,Electricity - Own use by briquetting plants,2018,4919.0
Germany,Electricity - Own use by briquetting plants,2017,4852.0
Germany,Electricity - Own use by oil refineries,2020,5790.0
Germany,Electricity - Own use by oil refineries,2019,5975.0
Germany,Electricity - Own use by oil refineries,2018,6067.0
Germany,Electricity - Own use by oil refineries,2017,6108.0
Germany,Electricity - Own use by pump-storage plants,2020,8872.0
Germany,Electricity - Own use by pump-storage plants,2019,8180.0
Germany,Electricity - Own use by pump-storage plants,2018,8445.0
Germany,Electricity - Own use by pump-storage plants,2017,8252.0
Germany,"Electricity - Own use by electricity, heat and CHP plants",2020,27772.0
Germany,"Electricity - Own use by electricity, heat and CHP plants",2019,31053.0
Germany,"Electricity - Own use by electricity, heat and CHP plants",2018,34817.0
Germany,"Electricity - Own use by electricity, heat and CHP plants",2017,34670.0
Germany,Electricity - Losses,2020,26939.0
Germany,Electricity - Losses,2019,27474.0
Germany,Electricity - Losses,2018,26661.0
Germany,Electricity - Losses,2017,27024.0
Germany,Electricity - Final energy consumption,2020,479814.0
Germany,Electricity - Final energy consumption,2019,496515.0
Germany,Electricity - Final energy consumption,2018,509394.0
Germany,Electricity - Final energy consumption,2017,518953.0
Germany,"Electricity - Consumption by manufacturing, construction and non-fuel industry",2020,211089.0
Germany,"Electricity - Consumption by manufacturing, construction and non-fuel industry",2019,223267.0
Germany,"Electricity - Consumption by manufacturing, construction and non-fuel industry",2018,230724.0
Germany,"Electricity - Consumption by manufacturing, construction and non-fuel industry",2017,232227.0
Germany,Electricity - Consumption by iron and steel,2020,22203.0
Germany,Electricity - Consumption by iron and steel,2019,24372.0
Germany,Electricity - Consumption by iron and steel,2018,26341.0
Germany,Electricity - Consumption by iron and steel,2017,26695.0
Germany,Electricity - Consumption by chemical and petrochemical,2020,51129.0
Germany,Electricity - Consumption by chemical and petrochemical,2019,52708.0
Germany,Electricity - Consumption by chemical and petrochemical,2018,53566.0
Germany,Electricity - Consumption by chemical and petrochemical,2017,54219.0
Germany,"Electricity - Consumption by other manuf., const. and non-fuel ind.",2020,137757.0
Germany,"Electricity - Consumption by other manuf., const. and non-fuel ind.",2019,146187.0
Germany,"Electricity - Consumption by other manuf., const. and non-fuel ind.",2018,150817.0
Germany,"Electricity - Consumption by other manuf., const. and non-fuel ind.",2017,151313.0
Germany,Electricity - Consumption by non-ferrous metals,2020,15074.0
Germany,Electricity - Consumption by non-ferrous metals,2019,15265.0
Germany,Electricity - Consumption by non-ferrous metals,2018,15785.0
Germany,Electricity - Consumption by non-ferrous metals,2017,16276.0
Germany,Electricity - Consumption by non-metallic minerals,2020,12174.0
Germany,Electricity - Consumption by non-metallic minerals,2019,12492.0
Germany,Electricity - Consumption by non-metallic minerals,2018,12701.0
Germany,Electricity - Consumption by non-metallic minerals,2017,12751.0
Germany,Electricity - Consumption by transport equipment,2020,13909.0
Germany,Electricity - Consumption by transport equipment,2019,16978.0
Germany,Electricity - Consumption by transport equipment,2018,17747.0
Germany,Electricity - Consumption by transport equipment,2017,17781.0
Germany,Electricity - Consumption by machinery,2020,29670.0
