Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2017;12:00 AM;12:00 AM;40,328,389.5;15,590,070.5;17,414,191.5;85,190,050.75;35,883,181;1,754,386.25;72,213,976.5;129,286,596.75;66,005,509.5;25,580,368;9,290,780.25;48,743,064.75
Jan 1, 2018;12:00 AM;12:00 AM;40,090,463;15,257,652.75;19,068,415.5;89,270,552.25;41,234,283;1,531,134.75;71,841,657;128,361,760.75;71,545,262.5;42,878,209.5;9,135,983.5;12,838,020.5
Jan 1, 2019;12:00 AM;12:00 AM;40,387,606.5;15,830,486;24,382,827;99,878,949;41,914,770.25;1,464,378.75;71,042,164.25;102,728,678;47,815,284.5;54,619,705.25;9,020,582.75;12,730,557.75
Jan 1, 2020;12:00 AM;12:00 AM;40,822,337.25;15,583,446.25;26,883,159.25;103,103,956.25;45,821,578;1,607,736.75;60,923,886.25;83,374,010;34,871,983.75;59,125,990.25;11,528,660;12,753,899.75
Jan 1, 2021;12:00 AM;12:00 AM;39,460,166.75;14,457,191.25;24,010,320.5;89,407,873.5;46,606,884.75;1,542,812;65,405,986.5;98,202,233.25;51,841,756.25;52,405,148;8,721,439.25;12,991,351.5
Jan 1, 2022;12:00 AM;12:00 AM;39,469,667.75;12,381,968.5;24,747,841;100,563,334.75;55,298,837.25;1,223,483.75;32,824,469.5;103,525,587;62,889,369.75;38,175,056;10,603,312.25;11,515,005.5
