Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2017;12:00 AM;12:00 AM;505,674,706.5;367,187,283.25;8,878,129
Jan 1, 2018;12:00 AM;12:00 AM;509,156,603.75;359,583,353;12,471,072.5
Jan 1, 2019;12:00 AM;12:00 AM;497,287,007.5;331,110,461.25;12,005,179.75
Jan 1, 2020;12:00 AM;12:00 AM;485,290,404.25;309,481,710.75;13,744,805.75
Jan 1, 2021;12:00 AM;12:00 AM;504,515,945.5;344,490,866.75;11,315,545.25
Jan 1, 2022;12:00 AM;12:00 AM;482,637,633;302,027,620;14,350,349
