"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Germany","From other sources – Autoproducer","2020","Kilowatt-hours, million","1018",""
"Germany","From other sources – Autoproducer","2019","Kilowatt-hours, million","920",""
"Germany","From other sources – Autoproducer","2018","Kilowatt-hours, million","1085",""
"Germany","From other sources – Autoproducer","2017","Kilowatt-hours, million","1116",""
"Germany","From other sources – Autoproducer – CHP plants","2020","Kilowatt-hours, million","258",""
"Germany","From other sources – Autoproducer – CHP plants","2019","Kilowatt-hours, million","173",""
"Germany","From other sources – Autoproducer – CHP plants","2018","Kilowatt-hours, million","206",""
"Germany","From other sources – Autoproducer – CHP plants","2017","Kilowatt-hours, million","485",""
"Germany","From other sources – Autoproducer – Electricity plants","2020","Kilowatt-hours, million","760",""
"Germany","From other sources – Autoproducer – Electricity plants","2019","Kilowatt-hours, million","747",""
"Germany","From other sources – Autoproducer – Electricity plants","2018","Kilowatt-hours, million","879",""
"Germany","From other sources – Autoproducer – Electricity plants","2017","Kilowatt-hours, million","631",""
"Germany","Electricity - net production","2020","Kilowatt-hours, million","544894",""
"Germany","Electricity - net production","2019","Kilowatt-hours, million","575864",""
"Germany","Electricity - net production","2018","Kilowatt-hours, million","605651",""
"Germany","Electricity - net production","2017","Kilowatt-hours, million","619053",""
"Germany","Electricity - imports","2020","Kilowatt-hours, million","47853",""
"Germany","Electricity - imports","2019","Kilowatt-hours, million","40126",""
"Germany","Electricity - imports","2018","Kilowatt-hours, million","31727",""
"Germany","Electricity - imports","2017","Kilowatt-hours, million","27842",""
"Germany","Electricity - exports","2020","Kilowatt-hours, million","66882",""
"Germany","Electricity - exports","2019","Kilowatt-hours, million","72793",""
"Germany","Electricity - exports","2018","Kilowatt-hours, million","80463",""
"Germany","Electricity - exports","2017","Kilowatt-hours, million","80301",""
"Germany","Electricity - Energy industries own use","2020","Kilowatt-hours, million","10240",""
"Germany","Electricity - Energy industries own use","2019","Kilowatt-hours, million","11028",""
"Germany","Electricity - Energy industries own use","2018","Kilowatt-hours, million","12415",""
"Germany","Electricity - Energy industries own use","2017","Kilowatt-hours, million","12365",""
"Germany","Electricity - Own use by coal mines","2020","Kilowatt-hours, million","45",""
"Germany","Electricity - Own use by coal mines","2019","Kilowatt-hours, million","57",""
"Germany","Electricity - Own use by coal mines","2018","Kilowatt-hours, million","568",""
"Germany","Electricity - Own use by coal mines","2017","Kilowatt-hours, million","503",""
"Germany","Electricity - Own use by oil and gas extraction","2020","Kilowatt-hours, million","501",""
"Germany","Electricity - Own use by oil and gas extraction","2019","Kilowatt-hours, million","540",""
"Germany","Electricity - Own use by oil and gas extraction","2018","Kilowatt-hours, million","541",""
"Germany","Electricity - Own use by oil and gas extraction","2017","Kilowatt-hours, million","609",""
"Germany","Electricity - Own use by coke ovens","2020","Kilowatt-hours, million","257",""
"Germany","Electricity - Own use by coke ovens","2019","Kilowatt-hours, million","280",""
"Germany","Electricity - Own use by coke ovens","2018","Kilowatt-hours, million","320",""
"Germany","Electricity - Own use by coke ovens","2017","Kilowatt-hours, million","293",""
"Germany","Electricity - Own use by briquetting plants","2020","Kilowatt-hours, million","3647",""
"Germany","Electricity - Own use by briquetting plants","2019","Kilowatt-hours, million","4176",""
"Germany","Electricity - Own use by briquetting plants","2018","Kilowatt-hours, million","4919",""
"Germany","Electricity - Own use by briquetting plants","2017","Kilowatt-hours, million","4852",""
"Germany","Electricity - Own use by oil refineries","2020","Kilowatt-hours, million","5790",""
"Germany","Electricity - Own use by oil refineries","2019","Kilowatt-hours, million","5975",""
"Germany","Electricity - Own use by oil refineries","2018","Kilowatt-hours, million","6067",""
"Germany","Electricity - Own use by oil refineries","2017","Kilowatt-hours, million","6108",""
"Germany","Electricity - Own use by pump-storage plants","2020","Kilowatt-hours, million","8872",""
"Germany","Electricity - Own use by pump-storage plants","2019","Kilowatt-hours, million","8180",""
"Germany","Electricity - Own use by pump-storage plants","2018","Kilowatt-hours, million","8445",""
"Germany","Electricity - Own use by pump-storage plants","2017","Kilowatt-hours, million","8252",""
"Germany","Electricity - Own use by electricity, heat and CHP plants","2020","Kilowatt-hours, million","27772",""
"Germany","Electricity - Own use by electricity, heat and CHP plants","2019","Kilowatt-hours, million","31053",""
"Germany","Electricity - Own use by electricity, heat and CHP plants","2018","Kilowatt-hours, million","34817",""
